id,subject,term,reference_gloss,hypothesis_gloss,similarity,glossed,correct
engpidginedu-09805,Business study,acceptable,dem worthy of acceptance or satisfactory,,0.0,False,False
engpidginedu-12876,Social studies,harmful,bad tin / something wey fit wound person,,0.0,False,False
engpidginedu-12876,Social studies,increasingly,E dey advancing for amount or intensity,,0.0,False,False
engpidginedu-25722,Biology,increased,E don big pass before / e climb,don big pass before / e climb,96.22,True,True
engpidginedu-25722,Biology,greater,E big pass / more-more,big pass / more-more,94.71,True,True
engpidginedu-25408,Biology,occurs,E dey happen / e dey show face,,0.0,False,False
engpidginedu-04880,Business study,moreover,join-am say / apart from dat,,0.0,False,False
engpidginedu-04880,Business study,prohibitions,things dem say make you no do,,0.0,False,False
engpidginedu-04880,Business study,trading,business / exchange,business move / to follow person do trade,34.2,True,False
engpidginedu-15523,Computer science,ranking,to arrange from best to worst,,0.0,False,False
engpidginedu-23382,Computer science,fundamentally,di main thing be say,,0.0,False,False
engpidginedu-04490,Business study,violating,to break law / mess up rule,to break law / go against rule,52.94,True,True
engpidginedu-04490,Business study,penalties,fines / punishments for offense,,0.0,False,False
engpidginedu-04490,Business study,compliance,di acting according to certain accepted standards,di place wey you dey work for,7.31,True,False
engpidginedu-01275,Government,subjects,topics / people under authority,,0.0,False,False
engpidginedu-01275,Government,nations,obodo / different-different countries,obodo / different-different countries,100.0,True,True
engpidginedu-01484,Government,appellant,na court wey dey review decision wey lower court make,na court wey dey review decision wey lower court make,100.0,True,True
engpidginedu-01484,Government,jail,prison / kashot / cell,prison / kashot / cell,100.0,True,True
engpidginedu-16386,Computer science,beliefs,wetin you believe,wetin you believe,100.0,True,True
engpidginedu-13152,Social studies,contribute,di quality wey dey bestow a quality on top quality on top,,0.0,False,False
engpidginedu-13152,Social studies,taxes,money wey gofment dey collect from people hustle,money wey gofment dey collect from people hustle,100.0,True,True
engpidginedu-23957,Computer science,confidence,di freedom from doubt,,0.0,False,False
engpidginedu-06522,Business study,vehicle,motor / machine to carry load,motor / machine to carry load,100.0,True,True
engpidginedu-06522,Business study,safety,safe condition / no wahala,safe condition / no wahala,100.0,True,True
engpidginedu-18279,Computer science,grumpiness,crossness,,0.0,False,False
engpidginedu-12907,Social studies,exposure,showing body / making known,showing body / making known,100.0,True,True
engpidginedu-03168,Government,restraint,to hold body / control / limitation,to hold body / control / limitation,100.0,True,True
engpidginedu-03168,Government,communication,di activity of communicating,di activity of communicating,100.0,True,True
engpidginedu-04216,Government,recover,"na obtain money, property, or relief from court judgment","na obtain money, property, or relief from court judgment",100.0,True,True
engpidginedu-04216,Government,caused,wetin make de tin happen,wetin person tink say go happen,37.9,True,False
engpidginedu-04216,Government,offensive,something wey dey disrespect or abuse person,,0.0,False,False
engpidginedu-20022,Computer science,hello,how dem de greet person,,0.0,False,False
engpidginedu-18017,Computer science,meaningful,di meaning or purpose dey having a meaning or purpose,di mean or di median,15.24,True,False
engpidginedu-18017,Computer science,reference,citation / to point to where info dey,citation / to point to where info dey,100.0,True,True
engpidginedu-16523,Computer science,caused,wetin make de tin happen,wetin make de tin happen,100.0,True,True
engpidginedu-12659,Social studies,perpetration,di act of committing a crime or causing harm to another person,,0.0,False,False
engpidginedu-02409,Government,attend,to go meeting / follow join,,0.0,False,False
engpidginedu-02409,Government,meeting,gathering / discussion group,gathering / discussion group,100.0,True,True
engpidginedu-02409,Government,member,one person inside join-body,one person inside join-body,100.0,True,True
engpidginedu-09456,Business study,capital,moni wey person use take start business,moni wey person use take start business,100.0,True,True
engpidginedu-09456,Business study,firm,company / business office,,0.0,False,False
engpidginedu-09456,Business study,exit,where person go pass take comot somwhere,where person go pass take comot somwhere,100.0,True,True
engpidginedu-25787,Biology,features,karakata wey dey make am sweet or wey dey help,karakata wey dey make am sweet or wey dey help,100.0,True,True
engpidginedu-25787,Biology,filtration,di process wey fluid pass through filter or filtering medium,,0.0,False,False
engpidginedu-01676,Government,appeals,to carry mata go higher court because you no gree,to carry mata go higher court because you no gree,100.0,True,True
engpidginedu-13126,Social studies,traditionally,di tradition wey dey according to tradition,,0.0,False,False
engpidginedu-13126,Social studies,broad,E wide well-well / e cover many things,wide well-well / e cover many things,97.16,True,True
engpidginedu-13126,Social studies,deciding,to choose / finalize decision,,0.0,False,False
engpidginedu-01482,Government,manner,way / style / how person take do am,way / style / how person take do am,100.0,True,True
engpidginedu-13213,Social studies,permanent,something wey no go change / follow-come,,0.0,False,False
engpidginedu-24750,Biology,formed,bin make / bin arrange or build,,0.0,False,False
engpidginedu-04388,Business study,industry,hustle / big-big business area,hustle / big-big business area,100.0,True,True
engpidginedu-04388,Business study,investment,di act of investing,,0.0,False,False
engpidginedu-04388,Business study,profit,gain / better money from business,gain / better money from business,100.0,True,True
engpidginedu-14120,Computer science,beginning,from di start,from di start,100.0,True,True
engpidginedu-14120,Computer science,memorize,when person read and keep information for head,,0.0,False,False
engpidginedu-14120,Computer science,descriptive,di serving to describe or inform or characterized by description,,0.0,False,False
engpidginedu-03522,Government,appropriately,di appropriate manner for di appropriate manner,,0.0,False,False
engpidginedu-03522,Government,convicted,na wen court or jury find persin guilty of criminal charge,,0.0,False,False
engpidginedu-03522,Government,rehabilitation,di restoration of someone to useful place for society,,0.0,False,False
engpidginedu-00267,Government,capitalism,di economic system wey dey based on private ownership of capital,,0.0,False,False
engpidginedu-15420,Computer science,follows,"dey come after, becos of sometin wey don happen before",,0.0,False,False
engpidginedu-16216,Computer science,humble,wey dey simple,,0.0,False,False
engpidginedu-16216,Computer science,tool,tinwey or ogbe wey dem dey use do sometin or wok,tinwey or ogbe wey dem dey use do sometin or wok,100.0,True,True
engpidginedu-09219,Business study,organized,well-arranged / follow order,,0.0,False,False
engpidginedu-01656,Government,enacted,dem don sign am into law,,0.0,False,False
engpidginedu-01656,Government,describing,di description wey dey give a description wey dey give,,0.0,False,False
engpidginedu-01656,Government,recommendations,advice,,0.0,False,False
engpidginedu-11563,Social studies,opportunities,di possibility due to a favorable combination of circumstances,di possibility due to a favorable combination of circumstances,100.0,True,True
engpidginedu-07888,Business study,exclusion,to comot person or tin / no allow join,,0.0,False,False
engpidginedu-12885,Social studies,adult,big person / person wey don pass 18,,0.0,False,False
engpidginedu-12885,Social studies,reported,bin talk wetin happen / record,bin talk wetin happen / record,100.0,True,True
engpidginedu-12885,Social studies,rates,prices / levels / speed,prices / levels / speed,100.0,True,True
engpidginedu-00759,Government,destructive,dem dey caus destruction or much damage,,0.0,False,False
engpidginedu-00759,Government,safety,safe condition / no wahala,safe condition / no wahala,100.0,True,True
engpidginedu-16297,Computer science,smoking,to smoke / puffs,,0.0,False,False
engpidginedu-10110,English Language,educational,di process of education dey relating to di process of education,,0.0,False,False
engpidginedu-10110,English Language,aspirations,di will to succeed,,0.0,False,False
engpidginedu-16343,Computer science,failure,when tin no work out / disappointment,when tin no work out / disappointment,100.0,True,True
engpidginedu-16343,Computer science,relationships,how people follow deirselves / connections,how people follow deirselves / connections,100.0,True,True
engpidginedu-16866,Computer science,easier,no hard / simple,no hard / simple,100.0,True,True
