Technical_terms,Literal meaning,pidgin meaning
abandoned,Having been deserted or left.,Leave am / throw away
abandonment,the act of giving something up,Di act of giving something up
abandonment,Leaving someone or something behind completely.,To leave person or somtin finish finish.
abbreviated,shortened form of something,Abbreviated na short form
abbreviated,reduce in scope while retaining essential elements,Di essential elements dey reduce for scope while retaining essential elements while retaining essential elements
abbreviation,a shortened form of a word or phrase,Di shortened form of word or phrase wey dey shortened form of word or phrase
aberration,An unusual behavior or something that differs from the norm.,Sometin wey no de normal.
abettor,"A person who intentionally encourages, helps, or incites another to commit a crime.",na persin wey dey encourage or help anoda persin go commit crime
abhorrent,Something that is deeply disgusting or hateful.,Something wey be yama yama.
ability,The power or skill to do something.,Di pawa or abiliti to do somtin.
ability,Possession of the means or power to do something.,Sabi / pawa to do work
abiotic,"Non-living factors in an environment, like air or water.",Tins we no be living tins for a place like air and wata.
able,Having the skill or power to do something.,To get the pawa or abiliti to do somtin.
abnormal,Not typical or usual; different from what is expected.,Somtin wey no de normal.
abolish,To officially end or remove a law or practice.,"To officially stop somtin wey people de always do, abi to stop law."
abolition,ending of a system or practice,Abolition na to end practice
abolitionist,"a person who advocates for the abolition of a practice or institution, especially slavery","person wey dey fight against slavery or bad tins, dem dey wan make am stop, like person wey sabi say slavery no good"
abominable,unequivocally detestable,E dey unequivocally dey dey testable
abortion,Ending a pregnancy before the baby is born.,To comot belle wen the pikin neva reach to born.
abortion,The deliberate termination of a human pregnancy.,To comot belle / end pregnancy before tayam
abrasion,A scrape or scratch on the skin or surface.,Small wound or scratch for body or somtin.
abrogation,the act of abrogating; an official or legal cancellation,Di act of abrogating; an official or legal cancellation; an official or legal cancellation
abrupt,Something that happens suddenly without warning.,Somtin wey sup without warning.
absence,lack or non‑existence of something,di fact say something no dey
absence,Not being present or available somewhere.,make person or somtin no de available somwhere.
absence,The state of being away from a place or person.,When person no dey ground / holiday
absence concept,the idea of missing or not present,di tins wey no dey
absent,Not present at a place or event.,make person or somtin no de available somwhere.
absent,"Not present in a place, at an occurrence, or in a company.",No dey ground / missing
absentee,A person who is supposed to be present but is not.,Person wey suppose de somwhere but e no de.
absenteeism,habitual absence from work,Di habitual absence from work
absolute,"Complete and total, with no exceptions or limits.","Everitin de complete, no comma."
absolute,Not qualified or diminished in any way; total.,Final / complete / no if or but
absolute deviation score,the magnitude of difference,di size of difference
absolute path,the full directory path from the root,di complete address from di start
absolute path,full directory address,di full address
absolute statements,"declarations or assertions that are completely true or certain, without any doubt or condition, such as '25% greater than'","tori wey no get doubt, like 'e dey 25% pass' - dat kain talk wey no get condition, e just dey so, no need to ask again"
absolute value,the non‑negative value of a number,di absolute value
absolute value,the non‑negative value,di number without minus
absolute value,"a value or magnitude that is not relative to any other value, always positive or zero","him be value wey no dey change, e always positive or zero, no matter wetin happen"
absolute value,"a value that represents the distance of a number from zero on the number line, without considering whether it is positive or negative","di distance wey number dey from zero for number line, no matter whether e be positive or negative, we dey call am absolute value, but for pidgin, we fit say 'distance from zero', or 'how far number reach from zero'"
absolute value function,"a mathematical function that returns the magnitude of a number, regardless of its sign","fonksiyon wey dey show yi magnitude, no matta yi sign, e mean say if yi get 5 or -5, e go still show 5"
absolute zero point,"a reference point that represents the complete absence of a quantity or quality, from which all other measurements or values are calculated","one point wey be base, wey show say nothing dey, from there dem dey count or measure every other thing"
absolutely,completely and without qualification; used informally as intensifiers,As intensifiers dey use informally as intensifiers
Absolutism,"A philosophical or ethical theory that certain actions are absolutely right or wrong, regardless of context or circumstances","One kind of tori wey dey talk about how some tins dey either good or bad, no matter wetin dey happen or where you dey, absolutism be like say some rules or laws no fit change, dem dey always right or always wrong, no matter the situation or the place"
absorbing,Taking in or soaking up something fully.,To sokup somtin finish.
absorption,(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid,Di process wey one substance permeates one; a fluid permeates or dey dissolved by a liquid or solid or solid.
abstaining,refrain from doing something,Dem refrain from voting
abstinence,Refraining completely from drinking alcohol or using drugs,Choosing completely not to drink alcohol or use drugs at all
abstract,theoretical rather than concrete,small abstract
Abstract,"A brief summary of a research paper or study, typically providing an overview of its main points, methodology, and conclusions","Torii wey be ogbongo, wey dey give yu summary of wetin research find, including how dem take do am and wetin dem discover"
abstract,"An idea that exists as a concept, not a physical thing.",Somtin wey no de physical wey person no fit see abi touch.
Abstract,a summary of a research paper or article,short version wey explain wetin one big paper talk
abundant,Available in very large quantities; more than enough.,E de yanfu yanfu.
abuse,Treating someone or something harmfully or wrongly.,To de do person or somtin wicked.
abuse,Use (something) to bad effect or for a bad purpose; treat with cruelty.,To use wayo do person / treat person bad / misuse pawa
abuser,"A person who mistreats or harms another person, especially in a relationship","Person wey dey mistreat or hurt another person, especially in a relationship"
abusive,Using harmful words or actions against others.,To de use bad word or do somtin bad to person.
abusive,Extremely offensive and insulting.,To curse person / treat person bad
abusive partner,"A person who uses physical, emotional, or sexual violence against their intimate partner","Person wey dey use violence, cruelty or control against their romantic partner"
ACA (Affordable Care Act),A US law expanding access to health insurance,US law wey expand access to health insurance coverage for more people
academia,academic world of study and research,Academia na mata wey involve research or academics
academia,"The world of universities, research, and higher education.","Di group of university, research, and higher education."
academic,relating to education and scholarship,person wey go school
academic,"Relating to education, school, or scholarly study.",Somtin wey de associated with skul.
academic,Relating to education and scholarship.,School mata / book work
academic,related to education or scholarly study,something wey concern school and learning
academic disciplines,fields of study,areas of learning
academic psychologists,university psychology professionals,scholars of mind
academically,in regard to academic matters,For regard to academic matters wey dey regard to academic matters for regard to academic matters for regard to academic matters
academician,someone elected to honorary membership in an academy,Di someone elected to honorary membership for academy for academy
academy,A school or institution for specialized training or study.,Skul to learn somtin.
accelerate,move faster,"Di move faster, move faster"
acceleration,an increase in rate of change,Di increase for rate of change
acceleration,Increase in the rate or speed of something.,To pick up speed / ginger
accelerator,a pedal that controls the throttle valve,Di pedal wey controls di throttle valve
accelerometer,an instrument for measuring the acceleration of aircraft or rockets,Di instrument wey dey measuring di acceleration of aircraft or rockets
accented,emphasized in pronunciation,Accented na say person talk sometin for strong tone.
accept,Consent to receive.,To gree collect / to welcome idea
acceptability,satisfactoriness by virtue of conforming to approved standards,E dey satisftoriness by virtue of conforming to approved standards
acceptable,worthy of acceptance or satisfactory,Dem worthy of acceptance or satisfactory
acceptable,Good enough to be approved or allowed.,Gud sotey dem fit use am.
acceptable,Able to be agreed on; suitable.,E follow / dem gree
acceptance,"An agreement by one party to the terms of an offer made by another party, which forms a binding contract.",na agreement wey one party give to di terms wey di oda party offer
acceptance,the mental attitude that something is believable and should be accepted as true,Di mental attitude say something dey believable and suppose accept as true
acceptance,Agreeing to receive or approve something or someone.,Make person talk say e go collect somtin or person.
acceptance,The action of consenting to receive or undertake something offered.,When person gree collect wetin dem give am
accepted,Generally believed or recognized to be valid or correct.,Bin gree collect / welcome idea
accepting,Consenting to receive or undertake.,To gree / collect
acceptor,The person who signs a bill of exchange agreeing to pay it when it falls due.,na persin wey sign bill of exchange and agree say dem go pay am wen time reach
accepts,Agrees to receive.,E gree / e collect am
access,to enter or use,to access
access,The means or opportunity to approach or enter a place.,Way to enter / permission to see or use tin
access to rstudio,being able to use RStudio,to get RStudio
accessibility,The quality of being able to be reached or entered.,How easy e be to reach something
accessibility,"the quality of being easy to reach, use, or understand","di quality of someting wey dey easy to reach, use, or understand"
accessible,"able to be reached or used, especially when this is easy to do","wey dem dey fit reach am, or wey dem dey fit use am, especially when e dey easy to do am"
accessible,capable of being reached,Di capable of being reached
accessible,Able to be reached or entered.,Something wey person fit reach easily
accessing,"the act of obtaining or retrieving individual elements, such as data or information, from a system, database, or collection","to dey retrieve or take out somtin wey dey inside system, database, or som place wey dem store informate or data"
accessing,Getting into or retrieving information or a place.,"To enter somwhere, abi to get informate."
accession,The legal acquisition of ownership over property that is added to or merged with property already owned.,na wen persin take ownership for property wey add to anoda property dem get already
accident,An unexpected event that causes damage or injury.,Somtin wey person no plan wey cause gbege.
accident,An unfortunate incident that happens unexpectedly and unintentionally.,Something wey happen by mistake / crash
accidentally,without advance planning,For advance planning without advance planning
accidents,Unfortunate incidents that happen unexpectedly.,Mishap / sudden bad tin
acclaimed,Publicly praised and recognized by many people.,Wey many pipu dey talk well about for public.
accommodate,be agreeable or acceptable to,Di agreeable or acceptable to be agreeable or acceptable to dey agreeable or acceptable to dem
accommodation,"In commercial law, the act of a party signing a negotiable instrument to lend their credit to another party without receiving value in return.",na wen persin sign negotiable instrument to lend dem credit without dem pay back
accommodation,making or becoming suitable; adjusting to circumstances,Di adjusting to circumstances; adjust to circumstances
accommodation,A place to sleep or stay; also adjusting for someone's needs.,Where person fit sleep or de live; e also mean say make person adjust for anoda person.
